id,fecha_generacion,juego,numeros,sorteo_objetivo,estado,aciertos,score_afinidad,hora_dia,algoritmo,nota_especial,fecha_lanzamiento
1768384310,2026-01-14 06:43:36,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,6,oraculo_neural_v4,NORMAL,
1768380943,2026-01-14 05:32:23,RACHA,"[3, 5, 6, 7, 8, 10, 14, 15, 19, 20]",10295,AUDITADO,5,5.0,5,forense_biometrico_v1,,
1768385725,2026-01-14 06:58:45,LOTO4,"[6, 7, 21, 33]",11562,AUDITADO,0,0.0,6,forense_biometrico_v1,,
1768385894,2026-01-14 06:58:45,RACHA,"[1, 2, 3, 7, 10, 12, 15, 17, 18, 19]",10295,AUDITADO,4,15.0,6,consenso_meritocratico_v2,,
1768384826,2026-01-14 06:58:45,LOTO,"[10, 11, 22, 24, 29, 37]",5374,PENDIENTE,0,0.0,6,gaussiano_inteligente_v1,,
1768375246,2026-01-14 04:02:37,LOTO3,"[0, 5, 8]",23989,AUDITADO,1,10.0,4,consenso_meritocratico_v2,,
1768385814,2026-01-14 06:58:45,LOTO3,"[0, 2, 9]",23989,AUDITADO,0,0.0,6,consenso_meritocratico_v2,,
1768381359,2026-01-14 06:02:39,LOTO,"[5, 13, 18, 19, 22, 26]",5374,PENDIENTE,0,0.0,6,forense_biometrico_v1,,
1768377382,2026-01-14 04:38:13,LOTO3,"[0, 4, 5]",23989,AUDITADO,2,66.67,4,consenso_meritocratico_v2,,
1768385425,2026-01-14 06:58:45,LOTO3,"[1, 2, 6]",23989,AUDITADO,0,0.0,6,forense_biometrico_v1,,
1768380243,2026-01-14 05:32:23,LOTO3,"[4, 5, 8]",23989,AUDITADO,2,20.0,5,forense_biometrico_v1,,
1768378393,2026-01-14 04:53:44,RACHA,"[1, 2, 3, 7, 12, 13, 14, 17, 18, 20]",10295,AUDITADO,4,15.0,4,consenso_meritocratico_v2,,
1768384905,2026-01-14 06:43:36,LOTO3,"[5, 6, 8]",23989,AUDITADO,1,10.0,6,consenso_meritocratico_v2,,
1768373716,2026-01-14 03:35:47,RACHA,"[1, 3, 10, 11, 12, 13, 16, 17, 18, 20]",10295,AUDITADO,5,5.0,3,consenso_meritocratico_v2,,
1768384945,2026-01-14 06:43:36,LOTO4,"[3, 7, 8, 20]",11562,AUDITADO,0,0.0,6,consenso_meritocratico_v2,,
1768388129,2026-01-14 07:36:00,RACHA,"[3, 5, 7, 8, 10, 11, 12, 15, 17, 20]",10295,AUDITADO,5,5.0,7,consenso_meritocratico_v2,,
1768387263,2026-01-14 07:36:00,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,7,markov_chain_v1,,
1768377693,2026-01-14 04:38:13,RACHA,"[1, 2, 6, 9, 10, 11, 16, 17, 19, 20]",10295,AUDITADO,3,40.0,4,forense_biometrico_v1,,
1768392130,2026-01-14 08:46:42,LOTO,"[3, 6, 7, 19, 36, 38]",5374,PENDIENTE,0,50.0,8,oraculo_neural_v3,NORMAL,
1768375557,2026-01-14 04:02:37,RACHA,"[1, 2, 6, 7, 8, 10, 15, 17, 18, 19]",10295,AUDITADO,4,15.0,4,forense_biometrico_v1,,
1768391287,2026-01-14 08:29:58,LOTO3,"[0, 5, 9]",23989,AUDITADO,1,10.0,8,consenso_meritocratico_v2,,
1768392202,2026-01-14 08:46:42,LOTO4,"[4, 11, 12, 19]",11562,AUDITADO,2,20.0,8,forense_biometrico_v1,,
1768375326,2026-01-14 04:02:37,RACHA,"[1, 2, 7, 10, 11, 12, 14, 15, 19, 20]",10295,AUDITADO,5,5.0,4,consenso_meritocratico_v2,,
1768377293,2026-01-14 04:38:13,LOTO4,"[3, 4, 21, 23]",11562,AUDITADO,0,0.0,4,forense_biometrico_v1,,
1768389313,2026-01-14 07:58:33,LOTO4,"[6, 7, 9, 23]",11562,AUDITADO,0,0.0,7,forense_biometrico_v1,,
1768376596,2026-01-14 04:38:13,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,4,markov_chain_v1,,
1768380632,2026-01-14 05:32:23,LOTO3,"[0, 4, 5]",23989,AUDITADO,2,66.67,5,consenso_meritocratico_v2,,
1768372547,2026-01-14 03:35:47,LOTO,"[8, 13, 18, 19, 37, 40]",5374,PENDIENTE,0,0.0,3,forense_biometrico_v1,,
1768377924,2026-01-14 04:53:44,LOTO3,"[5, 6, 8]",23989,AUDITADO,1,10.0,4,forense_biometrico_v1,,
1768385216,2026-01-14 06:43:36,RACHA,"[2, 5, 7, 8, 9, 10, 14, 15, 17, 18]",10295,AUDITADO,6,15.0,6,forense_biometrico_v1,,
1768388515,2026-01-14 07:58:33,LOTO,"[3, 4, 11, 17, 26, 34]",5374,PENDIENTE,0,0.0,7,delta_dna_v1,,
1768389241,2026-01-14 07:58:33,LOTO,"[4, 5, 13, 30, 32, 37]",5374,PENDIENTE,0,50.0,7,oraculo_neural_v3,NORMAL,
1768372749,2026-01-14 03:35:47,LOTO,"[8, 10, 11, 13, 19, 38]",5374,PENDIENTE,0,0.0,3,delta_dna_v1,,
1768375216,2026-01-14 04:02:37,LOTO,"[11, 12, 20, 37, 40, 41]",5374,PENDIENTE,0,34.26,4,consenso_meritocratico_v2,,
1768377422,2026-01-14 04:38:13,LOTO4,"[5, 8, 15, 20]",11562,AUDITADO,1,0.0,4,consenso_meritocratico_v2,,
1768390501,2026-01-14 08:29:58,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,8,markov_chain_v1,,
1768392602,2026-01-14 08:46:42,RACHA,"[3, 4, 6, 7, 10, 11, 12, 15, 16, 19]",10295,AUDITADO,6,15.0,8,forense_biometrico_v1,,
1768373475,2026-01-14 03:35:47,LOTO,"[7, 10, 12, 17, 40, 41]",5374,PENDIENTE,0,50.0,3,oraculo_neural_v3,NORMAL,
1768376394,2026-01-14 04:38:13,LOTO,"[2, 23, 29, 35, 36, 38]",5374,PENDIENTE,0,0.0,4,gaussiano_inteligente_v1,,
1768390198,2026-01-14 08:29:58,LOTO,"[2, 7, 12, 19, 20, 39]",5374,PENDIENTE,0,0.0,8,forense_biometrico_v1,,
